Transaction ID,Sender Bank ID,Receiver Bank ID,Amount (USD),Timestamp,Currency,Transaction Type,Transaction Status,Slice ID,Bandwidth Allocation (Mbps),Latency (ms),Packet Loss Rate (%),Encryption Method,Public Key,Private Key,Session Key,Encryption Time (ms),Decryption Time (ms),QKD Protocol,QKD Success Rate (%),QKD Detection,Attack Type,Attack Success Rate (%),Computational Overhead (%)
T023,Bank4,Bank2,1313,2016-03-11 11:35:00,EUR,Transfer,Pending,Slice1,96,22,0.05050006072661445,ECC,X23,Y23,Z23,7,6,BB84,78.05519836901486,False,Replay Attack,74.60920456811202,11
T024,Bank2,Bank1,2705,2020-09-26 15:38:00,EUR,Fund Transfer,Pending,Slice1,128,6,0.0363362184359793,ECC,X24,Y24,Z24,7,3,E91,70.58255758699534,True,Man-in-the-Middle,56.44299278892198,23
T025,Bank1,Bank1,1873,2018-05-27 02:16:00,GBP,Transfer,Successful,Slice2,79,19,0.022968251714030597,ECC,X25,Y25,Z25,7,3,BB84,84.5219121237776,False,Replay Attack,34.89801624032937,19
T026,Bank2,Bank1,2512,2020-12-30 10:01:00,GBP,Transfer,Pending,Slice2,169,7,0.09710880333569055,ECC,X26,Y26,Z26,6,4,E91,93.17315434475273,False,Quantum Interception,46.00811217843277,27
T027,Bank1,Bank4,302,2017-11-27 21:28:00,USD,Bill Payment,Successful,Slice1,145,17,0.021370348937195017,AES,X27,Y27,Z27,5,8,E91,16.9358330459916,False,Man-in-the-Middle,14.87101688697765,24
T028,Bank1,Bank2,1447,2017-04-26 12:45:00,USD,Transfer,Successful,Slice2,197,19,0.024099143394153602,AES,X28,Y28,Z28,6,5,BB84,7.849107408949429,False,Man-in-the-Middle,56.88379952855799,18
T029,Bank1,Bank4,2666,2019-11-01 14:22:00,EUR,Bill Payment,Pending,Slice1,62,10,0.08326132991094418,ECC,X29,Y29,Z29,6,5,E91,58.63505468623457,True,Replay Attack,37.02305513719156,20
T030,Bank3,Bank4,3071,2017-10-06 21:45:00,EUR,Bill Payment,Successful,Slice3,180,20,0.007477024931872234,ECC,X30,Y30,Z30,7,5,E91,4.931071020517708,False,Man-in-the-Middle,51.88373319414826,27
T031,Bank4,Bank3,3807,2017-08-13 15:01:00,USD,Transfer,Pending,Slice2,99,10,0.01695834005032635,ECC,X31,Y31,Z31,4,4,BB84,93.34660421360529,True,Replay Attack,8.231786189234302,28
T032,Bank1,Bank1,4463,2019-11-21 02:35:00,GBP,Bill Payment,Pending,Slice1,199,6,0.07550635819851015,ECC,X32,Y32,Z32,6,4,E91,57.403198831015835,True,Quantum Interception,42.548478594880876,28
T033,Bank2,Bank3,4747,2018-06-10 23:31:00,USD,Transfer,Pending,Slice2,99,28,0.08575775132187774,ECC,X33,Y33,Z33,8,4,BB84,79.06002399136783,False,Quantum Interception,55.80327986580785,28
T034,Bank4,Bank4,2710,2015-03-22 03:10:00,USD,Bill Payment,Successful,Slice1,76,9,0.03967190580002298,AES,X34,Y34,Z34,6,6,E91,87.83826469034518,True,Replay Attack,81.49825050396332,23
T035,Bank2,Bank1,114,2016-02-19 12:38:00,EUR,Fund Transfer,Successful,Slice2,53,27,0.03262543507423861,AES,X35,Y35,Z35,6,5,E91,42.53911694934251,True,Man-in-the-Middle,81.15047211948045,20
T036,Bank2,Bank1,3952,2016-06-13 10:29:00,EUR,Transfer,Failed,Slice3,195,23,0.0891631120668765,ECC,X36,Y36,Z36,8,5,E91,12.214052751026527,False,Quantum Interception,76.7361266785292,17
T037,Bank2,Bank1,2651,2019-09-25 03:27:00,GBP,Transfer,Successful,Slice2,118,26,0.017770551520788137,AES,X37,Y37,Z37,7,4,BB84,80.063814338245,False,Replay Attack,14.567247864825495,24
T038,Bank1,Bank2,1364,2016-05-25 09:13:00,EUR,Transfer,Failed,Slice2,91,13,0.025745221349637873,ECC,X38,Y38,Z38,5,3,E91,80.55394109130599,False,Replay Attack,61.655187234689365,27
T039,Bank2,Bank3,1670,2015-07-27 15:20:00,GBP,Fund Transfer,Failed,Slice2,61,6,0.07738731374601249,ECC,X39,Y39,Z39,9,5,BB84,11.58711273313411,False,Man-in-the-Middle,48.041118135471706,22
T040,Bank1,Bank1,1326,2020-06-11 01:41:00,USD,Fund Transfer,Pending,Slice1,135,24,0.03404682592894719,ECC,X40,Y40,Z40,4,8,E91,66.55923131197476,False,Replay Attack,29.96436704608223,24
T041,Bank4,Bank2,384,2016-06-03 15:20:00,USD,Fund Transfer,Failed,Slice2,122,18,0.09784042953134828,AES,X41,Y41,Z41,9,5,E91,28.02870223208641,False,Replay Attack,57.804547036212504,23
T042,Bank3,Bank1,1632,2015-01-25 00:11:00,USD,Fund Transfer,Pending,Slice3,183,23,0.09168960244635836,AES,X42,Y42,Z42,8,3,BB84,12.758543351982787,False,Man-in-the-Middle,91.02437139588282,16
T043,Bank4,Bank1,4904,2020-07-01 18:13:00,GBP,Transfer,Successful,Slice1,56,23,0.014748960263949607,ECC,X43,Y43,Z43,4,5,BB84,84.0718757176295,False,Man-in-the-Middle,3.4541093952572655,13
T044,Bank2,Bank2,4813,2019-04-07 21:16:00,EUR,Bill Payment,Successful,Slice1,90,24,0.05188466931249648,ECC,X44,Y44,Z44,8,3,E91,99.51284102267043,True,Quantum Interception,58.976338482674414,29
T045,Bank1,Bank1,2749,2015-10-10 19:02:00,EUR,Transfer,Failed,Slice2,85,21,0.009101316553816052,AES,X45,Y45,Z45,4,7,BB84,40.56694689009167,True,Quantum Interception,13.623540338381767,29
T046,Bank1,Bank1,3884,2019-03-30 07:11:00,GBP,Fund Transfer,Pending,Slice2,88,26,0.07831177250056612,AES,X46,Y46,Z46,4,6,BB84,88.48313894732631,True,Man-in-the-Middle,60.77044193248631,13
T047,Bank3,Bank3,1222,2018-03-19 09:28:00,GBP,Fund Transfer,Failed,Slice1,116,9,0.07818728600643038,ECC,X47,Y47,Z47,5,4,E91,50.887253816136855,True,Man-in-the-Middle,7.936164209937457,27
T048,Bank4,Bank1,3463,2016-03-17 00:11:00,EUR,Transfer,Failed,Slice3,148,15,0.0948117362770946,AES,X48,Y48,Z48,7,4,BB84,95.69896190252636,True,Replay Attack,53.06574305384149,24
T049,Bank4,Bank4,4644,2017-12-21 06:41:00,GBP,Fund Transfer,Pending,Slice3,90,6,0.019542411572354403,AES,X49,Y49,Z49,7,6,BB84,86.52328028704075,True,Quantum Interception,86.42145935294299,27
T050,Bank4,Bank4,4478,2017-02-05 10:36:00,GBP,Transfer,Successful,Slice3,195,13,0.07443470315519737,ECC,X50,Y50,Z50,8,7,BB84,78.33749171696593,False,Replay Attack,72.17595273592606,16
T051,Bank1,Bank3,4705,2015-11-28 09:26:00,EUR,Transfer,Pending,Slice3,82,5,0.004402346504889254,ECC,X51,Y51,Z51,8,5,BB84,73.30818318133318,True,Man-in-the-Middle,36.14462352608594,28
T052,Bank4,Bank4,4507,2015-10-28 19:07:00,GBP,Bill Payment,Successful,Slice2,120,18,0.027699906774826845,AES,X52,Y52,Z52,4,4,E91,91.18519891268359,True,Man-in-the-Middle,39.91524077436298,11
T053,Bank2,Bank3,4975,2016-02-22 07:11:00,GBP,Bill Payment,Failed,Slice2,176,14,0.007752712893017289,ECC,X53,Y53,Z53,5,6,E91,18.97698410021177,True,Man-in-the-Middle,0.7950021180756606,17
T054,Bank4,Bank1,1134,2018-01-23 04:23:00,EUR,Transfer,Failed,Slice2,188,17,0.057567771355308286,ECC,X54,Y54,Z54,7,7,BB84,62.412990240697994,False,Replay Attack,57.25303025207838,29
T055,Bank3,Bank1,202,2018-04-26 16:33:00,USD,Bill Payment,Failed,Slice1,104,20,0.0765178750120521,AES,X55,Y55,Z55,9,8,E91,71.63821404959792,False,Quantum Interception,70.18287842831248,29
T056,Bank1,Bank1,854,2018-11-17 10:59:00,EUR,Bill Payment,Failed,Slice3,60,8,0.0758878775735324,ECC,X56,Y56,Z56,7,4,E91,25.66301366195939,False,Replay Attack,11.910172809412224,10
T057,Bank4,Bank2,1565,2019-10-25 05:41:00,USD,Bill Payment,Pending,Slice1,89,5,0.09024728464215061,AES,X57,Y57,Z57,4,6,E91,65.18908149210405,True,Replay Attack,72.84883403081227,22
T058,Bank3,Bank3,3782,2015-03-17 17:45:00,USD,Fund Transfer,Failed,Slice3,148,27,0.059942041129900814,AES,X58,Y58,Z58,7,3,BB84,33.697738645430654,False,Quantum Interception,82.5633980970534,12
T059,Bank2,Bank2,2234,2017-04-26 19:46:00,EUR,Transfer,Failed,Slice1,190,9,0.092197325323439,ECC,X59,Y59,Z59,8,5,BB84,89.9979607768719,False,Man-in-the-Middle,90.83614848849044,25
T060,Bank3,Bank2,876,2019-08-27 15:37:00,USD,Bill Payment,Successful,Slice3,116,7,0.035296402026942376,ECC,X60,Y60,Z60,6,7,BB84,1.411343410337218,True,Quantum Interception,91.27634981078805,29
T061,Bank4,Bank3,4697,2017-06-08 23:10:00,EUR,Transfer,Pending,Slice1,95,24,0.006052993611708102,AES,X61,Y61,Z61,6,7,E91,4.632750810881559,False,Man-in-the-Middle,29.973926851103627,26
T062,Bank1,Bank2,775,2019-08-30 05:50:00,USD,Transfer,Pending,Slice2,100,21,0.043999771317507756,ECC,X62,Y62,Z62,4,4,E91,77.60735714123614,True,Man-in-the-Middle,93.71058884478974,19
T063,Bank4,Bank1,3428,2018-10-22 15:13:00,EUR,Fund Transfer,Failed,Slice2,139,11,0.08917455032517552,ECC,X63,Y63,Z63,9,4,BB84,71.35292442277735,False,Man-in-the-Middle,81.047885380642,26
T064,Bank3,Bank2,1436,2020-08-22 18:45:00,GBP,Bill Payment,Pending,Slice1,198,9,0.0063030695389882825,ECC,X64,Y64,Z64,8,3,E91,7.448958547159301,True,Replay Attack,91.32318594259333,28
T065,Bank3,Bank2,1692,2017-10-04 08:40:00,USD,Fund Transfer,Failed,Slice1,144,5,0.06942887354791528,ECC,X65,Y65,Z65,8,3,E91,97.11695261919053,False,Quantum Interception,18.239694501280933,14
T066,Bank4,Bank2,4534,2018-10-05 20:35:00,GBP,Bill Payment,Successful,Slice2,120,22,0.09733425808778966,ECC,X66,Y66,Z66,7,6,E91,62.79820777488831,True,Quantum Interception,32.17489493793111,21
T067,Bank3,Bank2,2672,2015-03-30 14:24:00,EUR,Transfer,Pending,Slice3,136,13,0.04968191213371627,AES,X67,Y67,Z67,4,5,BB84,86.28239364758458,True,Quantum Interception,21.06405626234502,11
T068,Bank4,Bank3,2769,2018-12-16 10:49:00,USD,Transfer,Failed,Slice2,139,25,0.05002139845881958,AES,X68,Y68,Z68,7,8,BB84,94.08508890650106,True,Replay Attack,66.79064095882865,12
T069,Bank2,Bank1,1293,2015-08-02 21:02:00,GBP,Transfer,Failed,Slice2,116,8,0.049675114161602946,AES,X69,Y69,Z69,8,6,E91,72.87808108243046,False,Replay Attack,93.4476900248806,17
T070,Bank3,Bank1,1726,2020-05-30 23:39:00,USD,Transfer,Successful,Slice2,62,9,0.05833714832850313,AES,X70,Y70,Z70,9,6,BB84,34.98153229808209,False,Man-in-the-Middle,32.8616676701302,12
T071,Bank1,Bank1,825,2020-03-09 20:07:00,EUR,Transfer,Pending,Slice2,124,29,0.07602111730907361,AES,X71,Y71,Z71,5,4,E91,69.88284511181392,False,Quantum Interception,57.397494927624194,16
T072,Bank1,Bank1,1295,2018-09-05 13:33:00,EUR,Bill Payment,Failed,Slice3,145,13,0.0897327035433248,ECC,X72,Y72,Z72,7,7,E91,44.71655916193949,True,Replay Attack,72.05015788340657,12
T073,Bank3,Bank1,4590,2019-03-06 22:33:00,GBP,Bill Payment,Failed,Slice2,129,19,0.07587024931976132,AES,X73,Y73,Z73,9,7,BB84,0.523906948127395,True,Replay Attack,47.78144683843576,10
T074,Bank2,Bank4,293,2017-03-03 00:56:00,USD,Fund Transfer,Pending,Slice3,77,19,0.06477902636375944,ECC,X74,Y74,Z74,9,7,BB84,29.329994528725457,False,Man-in-the-Middle,78.28157653634963,28
T075,Bank1,Bank1,2881,2017-04-08 20:02:00,GBP,Bill Payment,Failed,Slice2,166,6,0.04762413203680721,AES,X75,Y75,Z75,4,6,E91,99.25521351129414,True,Man-in-the-Middle,57.230149192804035,11
T076,Bank3,Bank4,1864,2019-11-28 17:57:00,USD,Fund Transfer,Successful,Slice2,138,25,0.07226691015603627,AES,X76,Y76,Z76,5,4,E91,26.909428047484397,True,Quantum Interception,77.08836480520186,11
T077,Bank3,Bank1,3243,2016-01-02 08:27:00,EUR,Transfer,Failed,Slice1,172,29,0.07173668570343764,AES,X77,Y77,Z77,8,6,E91,52.72525312308806,True,Replay Attack,85.94592910752404,22
T078,Bank3,Bank3,2414,2018-10-29 04:27:00,USD,Fund Transfer,Successful,Slice3,126,13,0.02607531539143955,ECC,X78,Y78,Z78,4,7,BB84,26.010435046411594,True,Man-in-the-Middle,95.93233760793932,12
T079,Bank3,Bank1,3387,2018-01-24 02:43:00,USD,Transfer,Successful,Slice2,148,12,0.027134539644797995,AES,X79,Y79,Z79,6,6,E91,95.03026389452938,True,Replay Attack,58.96841091475531,14
T080,Bank3,Bank3,4502,2017-01-21 06:21:00,GBP,Transfer,Pending,Slice2,138,20,0.07374084274891918,AES,X80,Y80,Z80,9,7,BB84,84.60898672753025,False,Man-in-the-Middle,74.84735231949375,22
T081,Bank3,Bank1,4119,2016-06-12 21:10:00,GBP,Transfer,Pending,Slice3,85,15,0.02181370560735755,ECC,X81,Y81,Z81,5,7,E91,43.65880534058275,True,Quantum Interception,82.74931212869076,19
T082,Bank4,Bank4,851,2017-10-28 22:21:00,USD,Bill Payment,Failed,Slice2,82,12,0.0808079151077902,ECC,X82,Y82,Z82,7,6,BB84,80.8430212629356,False,Man-in-the-Middle,43.624207831738524,20
T083,Bank1,Bank1,740,2016-10-14 09:44:00,GBP,Transfer,Failed,Slice2,82,10,0.07150938058110026,AES,X83,Y83,Z83,4,8,E91,20.118915104726486,False,Man-in-the-Middle,99.04960659886757,19
T084,Bank2,Bank4,3670,2018-11-25 16:06:00,USD,Transfer,Failed,Slice2,78,21,0.003876105680668962,AES,X84,Y84,Z84,6,7,BB84,71.28661134301382,False,Quantum Interception,47.40959678781411,17
T085,Bank1,Bank1,4693,2019-04-19 05:56:00,GBP,Transfer,Failed,Slice2,126,25,0.07691864956940318,ECC,X85,Y85,Z85,6,6,E91,84.34311527719584,False,Replay Attack,52.093114493539595,13
T086,Bank4,Bank4,1283,2017-08-10 23:49:00,EUR,Bill Payment,Pending,Slice3,140,27,0.01684143967113849,AES,X86,Y86,Z86,4,4,BB84,28.709579892941772,True,Quantum Interception,25.086917825261146,21
T087,Bank3,Bank2,3257,2020-03-30 18:34:00,GBP,Fund Transfer,Pending,Slice3,114,29,0.09540615975348314,ECC,X87,Y87,Z87,7,6,BB84,68.20600896138903,True,Man-in-the-Middle,39.1912588157736,20
T088,Bank3,Bank3,4292,2020-07-17 11:58:00,GBP,Bill Payment,Failed,Slice3,157,26,0.02610682753328434,AES,X88,Y88,Z88,5,6,BB84,49.16947173885288,False,Quantum Interception,88.57971016624634,16
T089,Bank4,Bank4,2076,2017-12-10 04:57:00,USD,Bill Payment,Pending,Slice3,117,10,0.08352018638814464,AES,X89,Y89,Z89,8,5,E91,33.68792833974147,False,Replay Attack,82.2978014300181,22
T090,Bank1,Bank3,2889,2017-05-21 15:22:00,EUR,Bill Payment,Failed,Slice2,175,10,0.016272830732105736,AES,X90,Y90,Z90,7,4,E91,28.666756164459084,False,Replay Attack,96.7099852142854,29
T091,Bank3,Bank4,1878,2016-09-15 23:38:00,GBP,Fund Transfer,Pending,Slice3,97,26,0.007823793059738127,ECC,X91,Y91,Z91,4,3,E91,35.639839521955096,True,Quantum Interception,25.978770044431876,19
T092,Bank4,Bank4,1776,2018-02-02 11:35:00,USD,Bill Payment,Failed,Slice2,122,23,0.08794028043673903,ECC,X92,Y92,Z92,9,3,BB84,14.862075580178502,False,Replay Attack,88.73531126254422,10
T093,Bank1,Bank4,984,2019-01-31 00:55:00,GBP,Fund Transfer,Pending,Slice1,124,7,0.09403199619438563,AES,X93,Y93,Z93,7,3,BB84,96.62692375913664,True,Replay Attack,57.14123532975244,15
T094,Bank1,Bank1,2708,2018-12-16 00:48:00,GBP,Transfer,Pending,Slice2,78,16,0.02776016501841614,AES,X94,Y94,Z94,4,6,E91,12.472053186533715,True,Quantum Interception,35.94539061021156,29
T095,Bank3,Bank4,4006,2019-02-07 22:01:00,USD,Transfer,Pending,Slice1,163,5,0.02334659527645776,ECC,X95,Y95,Z95,8,6,E91,58.40295477227107,False,Quantum Interception,40.51824453092235,12
T096,Bank3,Bank2,1310,2016-11-11 04:20:00,EUR,Transfer,Failed,Slice3,63,26,0.08237447660622542,ECC,X96,Y96,Z96,6,5,BB84,46.48808721606944,False,Replay Attack,51.562318316670016,21
T097,Bank4,Bank1,627,2016-03-31 22:44:00,USD,Fund Transfer,Pending,Slice2,59,29,0.06128818671923483,ECC,X97,Y97,Z97,7,3,BB84,51.17749231109786,False,Quantum Interception,47.5017381949004,20
T098,Bank2,Bank3,4876,2018-06-21 19:52:00,GBP,Transfer,Failed,Slice3,103,5,0.058165150731898624,AES,X98,Y98,Z98,6,7,BB84,63.98861335203242,True,Man-in-the-Middle,33.22016143449016,25
T099,Bank2,Bank1,2124,2020-03-31 02:28:00,EUR,Transfer,Failed,Slice3,95,14,0.0038952418372390388,ECC,X99,Y99,Z99,8,8,E91,71.93464440132794,False,Quantum Interception,90.25464912278117,29
T100,Bank3,Bank1,3644,2016-12-10 01:39:00,EUR,Transfer,Pending,Slice1,110,11,0.0692673607379421,ECC,X100,Y100,Z100,6,4,E91,18.357729436271875,True,Quantum Interception,28.85538698974105,24
T101,Bank2,Bank2,1140,2017-08-15 20:41:00,GBP,Transfer,Successful,Slice1,72,29,0.05718400454131359,ECC,X101,Y101,Z101,9,6,E91,26.992888262505843,True,Replay Attack,64.83061329692214,23
T102,Bank4,Bank1,4360,2016-06-22 10:21:00,EUR,Transfer,Successful,Slice2,139,24,0.030110610967978346,ECC,X102,Y102,Z102,4,7,BB84,24.167308747924544,True,Quantum Interception,19.695983739713206,19
T103,Bank3,Bank3,4442,2017-06-11 09:17:00,USD,Fund Transfer,Pending,Slice1,83,18,0.02951214315056505,AES,X103,Y103,Z103,7,4,E91,1.825541169715772,False,Replay Attack,33.95348644123223,24
T104,Bank1,Bank3,2953,2017-04-07 22:40:00,EUR,Bill Payment,Successful,Slice3,60,23,0.06765312446653897,ECC,X104,Y104,Z104,6,5,E91,20.124691257616846,False,Replay Attack,23.16718973371725,14
T105,Bank2,Bank2,1176,2018-04-17 06:02:00,USD,Fund Transfer,Successful,Slice3,175,13,0.09073859924046938,ECC,X105,Y105,Z105,9,4,E91,22.72609273610189,False,Man-in-the-Middle,20.342081875834484,18
T106,Bank3,Bank2,1066,2017-06-01 02:36:00,EUR,Transfer,Successful,Slice3,153,19,0.023060930544648497,AES,X106,Y106,Z106,4,3,BB84,32.67414239697081,True,Replay Attack,40.08746226119355,21
T107,Bank4,Bank3,1957,2015-08-29 21:47:00,EUR,Transfer,Pending,Slice2,161,25,0.08934854784268931,AES,X107,Y107,Z107,4,8,BB84,13.238559325773302,True,Man-in-the-Middle,83.9267921130323,10
T108,Bank1,Bank3,660,2020-09-25 03:59:00,GBP,Fund Transfer,Pending,Slice1,135,10,0.017367125314387468,ECC,X108,Y108,Z108,4,4,E91,45.707847896742614,True,Man-in-the-Middle,9.036600995923905,19
T109,Bank1,Bank1,3955,2018-05-23 08:06:00,EUR,Transfer,Pending,Slice3,120,25,0.040538668007041506,ECC,X109,Y109,Z109,7,7,BB84,25.768931569113253,False,Man-in-the-Middle,56.67532020116133,19
T110,Bank2,Bank1,4702,2015-11-10 09:31:00,GBP,Bill Payment,Successful,Slice1,126,22,0.04394115244585456,AES,X110,Y110,Z110,9,3,BB84,4.312871936588836,True,Man-in-the-Middle,60.54288156903882,14
T111,Bank2,Bank4,996,2020-03-06 05:27:00,GBP,Fund Transfer,Pending,Slice1,103,5,0.06429998707216665,AES,X111,Y111,Z111,6,8,BB84,70.14846640306506,False,Replay Attack,87.15269743451915,22
T112,Bank3,Bank4,1017,2015-08-11 10:49:00,GBP,Fund Transfer,Successful,Slice3,175,24,0.003483467227489501,AES,X112,Y112,Z112,9,6,E91,6.063071495333672,True,Quantum Interception,38.92006008184784,15
T113,Bank1,Bank3,4009,2019-08-24 12:03:00,USD,Transfer,Successful,Slice1,143,7,0.03596159113303186,AES,X113,Y113,Z113,7,5,BB84,42.66250985392299,True,Quantum Interception,47.63096639346791,11
T114,Bank4,Bank2,3935,2019-04-29 07:12:00,USD,Bill Payment,Pending,Slice2,163,24,0.09620861413251947,ECC,X114,Y114,Z114,4,6,E91,33.19690825346757,False,Replay Attack,59.735980830038,23
T115,Bank3,Bank4,3146,2015-12-22 03:27:00,GBP,Fund Transfer,Successful,Slice1,89,20,0.08968637398758629,AES,X115,Y115,Z115,4,6,BB84,37.31397258060224,False,Quantum Interception,49.66275349759175,13
T116,Bank4,Bank2,3015,2016-08-08 09:24:00,EUR,Fund Transfer,Pending,Slice3,51,23,0.014344521779444409,AES,X116,Y116,Z116,8,5,BB84,96.48614912678892,True,Replay Attack,54.42760925732517,19
T117,Bank2,Bank2,967,2016-01-31 00:33:00,GBP,Bill Payment,Successful,Slice2,122,27,0.06685559455551274,AES,X117,Y117,Z117,7,8,E91,97.06368148972601,False,Quantum Interception,4.2409547522176405,19
T118,Bank3,Bank4,1239,2018-03-13 12:56:00,EUR,Transfer,Successful,Slice2,72,11,0.06564961037351874,ECC,X118,Y118,Z118,4,3,BB84,25.461324602088375,True,Quantum Interception,61.50044049576845,21
T119,Bank3,Bank3,1024,2018-12-31 10:22:00,EUR,Transfer,Pending,Slice3,53,27,0.06455598604604279,AES,X119,Y119,Z119,9,7,E91,73.27491246169163,False,Replay Attack,74.08076117462768,28
T120,Bank2,Bank2,318,2018-06-21 19:33:00,GBP,Bill Payment,Successful,Slice3,121,12,0.05199615452130429,AES,X120,Y120,Z120,8,6,BB84,15.683104410833405,True,Quantum Interception,84.3971960662153,15
T121,Bank1,Bank4,1548,2015-03-04 21:31:00,GBP,Fund Transfer,Successful,Slice1,77,22,0.047157040882768446,ECC,X121,Y121,Z121,6,5,BB84,20.787460544710846,True,Man-in-the-Middle,73.50110933077652,21
